,lat,lon,power,geometry
246529612,63.1013616,21.6029686,14.35,POINT (21.6029686 63.1013616)
246529614,63.1052415,21.6163173,14.35,POINT (21.6163173 63.1052415)
249565622,65.503198,27.6497744,222.76,POINT (27.6497744 65.503198)
252167900,60.2405967,24.7381454,-58.0,POINT (24.7381454 60.2405967)
256102815,63.831531,23.1349334,-1830.0,POINT (23.1349334 63.831531)
257708344,64.6169999,28.4785385,180.7,POINT (28.4785385 64.6169999)
257942274,62.8742977,24.1868939,-27.0,POINT (24.1868939 62.8742977)
266012220,60.4975789,25.0899456,-319.0,POINT (25.0899456 60.4975789)
278994042,60.2207051,24.9361901,14.83,POINT (24.9361901 60.2207051)
286835446,62.2413337,27.5299944,7.87,POINT (27.5299944 62.2413337)
288465276,62.935646,26.3831471,-21.0,POINT (26.3831471 62.935646)
294854486,63.0915294,21.5647571,803.83,POINT (21.5647571 63.0915294)
306518584,62.5515208,24.1119277,-64.0,POINT (24.1119277 62.5515208)
313113179,60.2182144,24.6377561,-2174.0,POINT (24.6377561 60.2182144)
341733915,60.3056055,25.0062762,-1930.0,POINT (25.0062762 60.3056055)
347076381,60.7777832,24.9806726,-92.0,POINT (24.9806726 60.7777832)
353165962,62.3618583,26.0000991,-170.0,POINT (26.0000991 62.3618583)
356615774,61.6356447,27.0822435,-35.0,POINT (27.0822435 61.6356447)
359395435,63.0367285,25.7902849,-79.0,POINT (25.7902849 63.0367285)
369183838,65.0233724,25.4736715,-2863.0,POINT (25.4736715 65.0233724)
369183840,65.0261538,25.4742507,200.23,POINT (25.4742507 65.0261538)
369183843,65.0277642,25.4719878,200.23,POINT (25.4719878 65.0277642)
370631668,62.2272586,25.7040813,16.42,POINT (25.7040813 62.2272586)
385548413,63.8341288,23.0456251,4.69,POINT (23.0456251 63.8341288)
420444765,63.690689,22.7565055,-691.0,POINT (22.7565055 63.690689)
494789719,60.7877087,25.8205715,-16.0,POINT (25.8205715 60.7877087)
503708487,60.6262835,24.9059912,-443.0,POINT (24.9059912 60.6262835)
