,source,target,capacity,geo
0,246529612,246529614,462000000,"LINESTRING (21.6029686 63.1013616, 21.6163173 63.1052415)"
1,246529612,294854486,462000000,"LINESTRING (21.6029686 63.1013616, 21.5647571 63.0915294)"
2,249565622,4836046690,77000000,"LINESTRING (27.6497744 65.503198, 27.0208478 65.350509)"
3,249565622,538122764,77000000,"LINESTRING (27.6497744 65.503198, 28.2734826 65.542922)"
4,252167900,1082948540,462000000,"LINESTRING (24.7381454 60.2405967, 24.7164474 60.1504572)"
5,252167900,1248608985,462000000,"LINESTRING (24.7381454 60.2405967, 24.7840811 60.4806101)"
6,252167900,1886541905,462000000,"LINESTRING (24.7381454 60.2405967, 25.3047059 60.4509767)"
7,252167900,347076381,462000000,"LINESTRING (24.7381454 60.2405967, 24.9806726 60.7777832)"
8,252167900,2466569559,462000000,"LINESTRING (24.7381454 60.2405967, 24.0909328 60.2496788)"
9,252167900,1887289655,462000000,"LINESTRING (24.7381454 60.2405967, 24.3390341 60.4104826)"
10,252167900,1774983916,462000000,"LINESTRING (24.7381454 60.2405967, 24.2462307 60.1391829)"
11,252167900,313113179,462000000,"LINESTRING (24.7381454 60.2405967, 24.6377561 60.2182144)"
12,252167900,2043052860,462000000,"LINESTRING (24.7381454 60.2405967, 24.4349748 60.1395161)"
13,252167900,9215083692,462000000,"LINESTRING (24.7381454 60.2405967, 23.9675368 60.166663)"
14,256102815,385548413,462000000,"LINESTRING (23.1349334 63.831531, 23.0456251 63.8341288)"
15,256102815,1799422016,462000000,"LINESTRING (23.1349334 63.831531, 23.9200208 63.8463967)"
16,256102815,1616801758,462000000,"LINESTRING (23.1349334 63.831531, 23.3571794 63.8565455)"
17,256102815,1483738845,462000000,"LINESTRING (23.1349334 63.831531, 23.2792181 63.6068556)"
18,256102815,1432005454,462000000,"LINESTRING (23.1349334 63.831531, 23.4927123 63.5575721)"
19,257708344,3673653902,77000000,"LINESTRING (28.4785385 64.6169999, 28.8581834 64.8343308)"
20,257708344,3673650868,77000000,"LINESTRING (28.4785385 64.6169999, 28.4981277 64.66665)"
21,257708344,4684407205,77000000,"LINESTRING (28.4785385 64.6169999, 28.9676786 64.0989552)"
22,257708344,2287139219,77000000,"LINESTRING (28.4785385 64.6169999, 29.4759479 64.1171983)"
23,257708344,2156877420,77000000,"LINESTRING (28.4785385 64.6169999, 27.5901621 64.5510783)"
24,257708344,2156877324,77000000,"LINESTRING (28.4785385 64.6169999, 27.8878316 64.4551841)"
25,257942274,1495947098,840000000,"LINESTRING (24.1868939 62.8742977, 23.4258186 62.885613)"
26,257942274,1789872614,840000000,"LINESTRING (24.1868939 62.8742977, 22.8219219 62.7996471)"
27,257942274,1672119556,840000000,"LINESTRING (24.1868939 62.8742977, 22.6017178 62.7236077)"
28,257942274,1117897539,840000000,"LINESTRING (24.1868939 62.8742977, 22.3482154 63.0086426)"
29,257942274,1495910314,840000000,"LINESTRING (24.1868939 62.8742977, 23.0152952 62.9601001)"
30,257942274,2504888862,840000000,"LINESTRING (24.1868939 62.8742977, 25.458512 62.5241243)"
31,257942274,5603767647,840000000,"LINESTRING (24.1868939 62.8742977, 24.524135 62.9990805)"
32,257942274,1558729105,840000000,"LINESTRING (24.1868939 62.8742977, 24.4627545 63.19901)"
33,257942274,1652865042,840000000,"LINESTRING (24.1868939 62.8742977, 24.8853242 62.4425621)"
34,257942274,1433711990,840000000,"LINESTRING (24.1868939 62.8742977, 23.7763826 63.0178849)"
35,257942274,1495910521,840000000,"LINESTRING (24.1868939 62.8742977, 23.0601201 63.0856927)"
36,257942274,3575334938,840000000,"LINESTRING (24.1868939 62.8742977, 24.1647015 61.9804063)"
37,257942274,1538718337,840000000,"LINESTRING (24.1868939 62.8742977, 23.8021439 62.2505463)"
38,257942274,1538718412,840000000,"LINESTRING (24.1868939 62.8742977, 24.0024579 62.361212)"
39,257942274,1613006431,840000000,"LINESTRING (24.1868939 62.8742977, 24.6560889 62.2820018)"
40,266012220,1097022574,462000000,"LINESTRING (25.0899456 60.4975789, 25.1110711 60.2324659)"
41,266012220,1030022481,462000000,"LINESTRING (25.0899456 60.4975789, 25.0439519 60.3808674)"
42,266012220,341733915,462000000,"LINESTRING (25.0899456 60.4975789, 25.0062762 60.3056055)"
43,266012220,3536686368,462000000,"LINESTRING (25.0899456 60.4975789, 23.5958794 60.796506)"
44,266012220,7785011979,462000000,"LINESTRING (25.0899456 60.4975789, 24.2051288 60.5361632)"
45,266012220,5523706858,462000000,"LINESTRING (25.0899456 60.4975789, 24.9829145 60.2208767)"
46,266012220,278994042,462000000,"LINESTRING (25.0899456 60.4975789, 24.9361901 60.2207051)"
47,266012220,1004465264,462000000,"LINESTRING (25.0899456 60.4975789, 24.8357613 60.2843902)"
48,266012220,3543504448,462000000,"LINESTRING (25.0899456 60.4975789, 24.8351028 60.2842303)"
49,266012220,1223645894,462000000,"LINESTRING (25.0899456 60.4975789, 25.2671595 60.3635738)"
50,266012220,1883245033,462000000,"LINESTRING (25.0899456 60.4975789, 25.5670523 60.3907908)"
51,266012220,1023007513,462000000,"LINESTRING (25.0899456 60.4975789, 25.1143244 60.409099)"
52,278994042,5523706858,462000000,"LINESTRING (24.9361901 60.2207051, 24.9829145 60.2208767)"
53,278994042,1004465264,462000000,"LINESTRING (24.9361901 60.2207051, 24.8357613 60.2843902)"
54,278994042,3543504448,462000000,"LINESTRING (24.9361901 60.2207051, 24.8351028 60.2842303)"
55,278994042,1097022574,462000000,"LINESTRING (24.9361901 60.2207051, 25.1110711 60.2324659)"
56,278994042,1223645894,462000000,"LINESTRING (24.9361901 60.2207051, 25.2671595 60.3635738)"
57,278994042,1883245033,462000000,"LINESTRING (24.9361901 60.2207051, 25.5670523 60.3907908)"
58,278994042,1023007513,462000000,"LINESTRING (24.9361901 60.2207051, 25.1143244 60.409099)"
59,278994042,1030022481,462000000,"LINESTRING (24.9361901 60.2207051, 25.0439519 60.3808674)"
60,278994042,341733915,462000000,"LINESTRING (24.9361901 60.2207051, 25.0062762 60.3056055)"
61,278994042,3536686368,462000000,"LINESTRING (24.9361901 60.2207051, 23.5958794 60.796506)"
62,278994042,7785011979,462000000,"LINESTRING (24.9361901 60.2207051, 24.2051288 60.5361632)"
63,278994042,722718468,462000000,"LINESTRING (24.9361901 60.2207051, 24.9080191 60.2198976)"
64,286835446,353165962,840000000,"LINESTRING (27.5299944 62.2413337, 26.0000991 62.3618583)"
65,286835446,5208096275,840000000,"LINESTRING (27.5299944 62.2413337, 25.6605549 62.7437219)"
66,286835446,1627641575,840000000,"LINESTRING (27.5299944 62.2413337, 25.267161 62.7215245)"
67,286835446,2504888862,840000000,"LINESTRING (27.5299944 62.2413337, 25.458512 62.5241243)"
68,286835446,1790799758,840000000,"LINESTRING (27.5299944 62.2413337, 25.212066 62.2705291)"
69,286835446,1652865042,840000000,"LINESTRING (27.5299944 62.2413337, 24.8853242 62.4425621)"
70,286835446,504707363,840000000,"LINESTRING (27.5299944 62.2413337, 24.6767497 61.7428913)"
71,286835446,1890384340,840000000,"LINESTRING (27.5299944 62.2413337, 25.3001094 60.6527074)"
72,286835446,1890384337,840000000,"LINESTRING (27.5299944 62.2413337, 25.2975929 60.6520375)"
73,286835446,503708487,840000000,"LINESTRING (27.5299944 62.2413337, 24.9059912 60.6262835)"
74,286835446,1134834266,840000000,"LINESTRING (27.5299944 62.2413337, 24.7753296 60.7246859)"
75,286835446,4833582360,840000000,"LINESTRING (27.5299944 62.2413337, 24.4778804 60.7165011)"
76,286835446,5655452751,840000000,"LINESTRING (27.5299944 62.2413337, 23.7285267 60.7611611)"
77,286835446,2289129983,840000000,"LINESTRING (27.5299944 62.2413337, 24.6265751 60.9080935)"
78,286835446,1138373767,840000000,"LINESTRING (27.5299944 62.2413337, 24.4615879 61.0153639)"
79,286835446,1138372990,840000000,"LINESTRING (27.5299944 62.2413337, 24.4928522 60.9956502)"
80,286835446,503713387,840000000,"LINESTRING (27.5299944 62.2413337, 25.2209553 61.3398921)"
81,286835446,10035810249,840000000,"LINESTRING (27.5299944 62.2413337, 25.3619538 61.1886805)"
82,286835446,1889762974,840000000,"LINESTRING (27.5299944 62.2413337, 25.3474377 60.9116007)"
83,286835446,587663666,840000000,"LINESTRING (27.5299944 62.2413337, 25.5166734 60.981735)"
84,286835446,2101622556,840000000,"LINESTRING (27.5299944 62.2413337, 25.1631093 61.8570284)"
85,286835446,1613006431,840000000,"LINESTRING (27.5299944 62.2413337, 24.6560889 62.2820018)"
86,286835446,1815903124,840000000,"LINESTRING (27.5299944 62.2413337, 24.45575 61.8156299)"
87,286835446,1339479215,840000000,"LINESTRING (27.5299944 62.2413337, 24.3733159 61.6784486)"
88,286835446,2097682897,840000000,"LINESTRING (27.5299944 62.2413337, 24.426309 61.791843)"
89,286835446,3575334938,840000000,"LINESTRING (27.5299944 62.2413337, 24.1647015 61.9804063)"
90,286835446,2094639385,840000000,"LINESTRING (27.5299944 62.2413337, 24.4779928 62.0045277)"
91,286835446,5734029445,840000000,"LINESTRING (27.5299944 62.2413337, 25.1462878 61.572053)"
92,286835446,536080120,840000000,"LINESTRING (27.5299944 62.2413337, 25.0675336 63.4657145)"
93,286835446,8572948247,840000000,"LINESTRING (27.5299944 62.2413337, 25.0454267 63.3655759)"
94,286835446,1655226900,840000000,"LINESTRING (27.5299944 62.2413337, 25.0048267 62.9359946)"
95,286835446,370631668,840000000,"LINESTRING (27.5299944 62.2413337, 25.7040813 62.2272586)"
96,286835446,959583291,840000000,"LINESTRING (27.5299944 62.2413337, 25.7026208 62.2287003)"
97,286835446,524673995,840000000,"LINESTRING (27.5299944 62.2413337, 25.6812873 62.1671715)"
98,286835446,1802476065,840000000,"LINESTRING (27.5299944 62.2413337, 25.7667659 62.1372276)"
99,286835446,2086327496,840000000,"LINESTRING (27.5299944 62.2413337, 25.9993896 61.5817699)"
100,286835446,1673355821,840000000,"LINESTRING (27.5299944 62.2413337, 26.1007795 61.7924583)"
101,286835446,1704356599,840000000,"LINESTRING (27.5299944 62.2413337, 26.620813 61.9866114)"
102,286835446,3544068285,840000000,"LINESTRING (27.5299944 62.2413337, 26.3456175 60.371702)"
103,286835446,1886541905,840000000,"LINESTRING (27.5299944 62.2413337, 25.3047059 60.4509767)"
104,286835446,1885661000,840000000,"LINESTRING (27.5299944 62.2413337, 25.6392302 60.4375144)"
105,286835446,1420510764,840000000,"LINESTRING (27.5299944 62.2413337, 26.504031 60.4960019)"
106,286835446,8381797554,840000000,"LINESTRING (27.5299944 62.2413337, 26.2308371 60.4654414)"
107,286835446,1788509068,840000000,"LINESTRING (27.5299944 62.2413337, 26.8423461 60.6893255)"
108,286835446,1788509352,840000000,"LINESTRING (27.5299944 62.2413337, 26.8343314 60.6956776)"
109,286835446,1540709741,840000000,"LINESTRING (27.5299944 62.2413337, 26.5929626 60.8828872)"
110,286835446,1540710285,840000000,"LINESTRING (27.5299944 62.2413337, 26.3429688 60.9029674)"
111,286835446,1889840986,840000000,"LINESTRING (27.5299944 62.2413337, 25.70523 60.8079744)"
112,286835446,7724081389,840000000,"LINESTRING (27.5299944 62.2413337, 25.6586391 60.9519943)"
113,286835446,494789719,840000000,"LINESTRING (27.5299944 62.2413337, 25.8205715 60.7877087)"
114,286835446,1540710294,840000000,"LINESTRING (27.5299944 62.2413337, 26.3389125 60.903297)"
115,286835446,5634462002,840000000,"LINESTRING (27.5299944 62.2413337, 26.2516538 60.9472744)"
116,286835446,3751497036,840000000,"LINESTRING (27.5299944 62.2413337, 26.1391354 61.0890892)"
117,286835446,5084426382,840000000,"LINESTRING (27.5299944 62.2413337, 26.0481069 61.2011898)"
118,286835446,1540709683,840000000,"LINESTRING (27.5299944 62.2413337, 26.5969437 60.8788542)"
119,286835446,1883245173,840000000,"LINESTRING (27.5299944 62.2413337, 25.6618971 60.406646)"
120,286835446,3544068280,840000000,"LINESTRING (27.5299944 62.2413337, 26.3449591 60.3708728)"
121,286835446,1639894556,840000000,"LINESTRING (27.5299944 62.2413337, 27.8605096 61.1317451)"
122,286835446,2302343980,840000000,"LINESTRING (27.5299944 62.2413337, 27.6182098 60.7431338)"
123,286835446,2759244272,840000000,"LINESTRING (27.5299944 62.2413337, 28.2903358 61.0100448)"
124,286835446,1557762135,840000000,"LINESTRING (27.5299944 62.2413337, 27.6298342 60.9328902)"
125,286835446,1703644862,840000000,"LINESTRING (27.5299944 62.2413337, 27.8394065 62.3320753)"
126,286835446,1956550790,840000000,"LINESTRING (27.5299944 62.2413337, 27.764053 62.4856149)"
127,286835446,8390726650,840000000,"LINESTRING (27.5299944 62.2413337, 27.1064736 62.5964514)"
128,286835446,2636358023,840000000,"LINESTRING (27.5299944 62.2413337, 26.8825597 62.6419554)"
